Term,Definition
High-context culture,"The mean- ing of a message is dependent on context cues. High-definition TV (HDTV) (p. 377) A type of television set that delivers movie quality, high-resolution images."
Hits,The number of times a web- site is visited.
Holding companies,"One or more advertising agency networks, as well as other types of marketing communication agencies and marketing services consult-ing firms."
Home page,"The opening page on a website. Horizontal publication (pp. 359, 558) Publications directed at people who hold similar jobs.House"
ad,"An ad by an organiza- tion that is used in its own publication or programming. House brand (pp. 46, 551) See Store brands."
House list,A compilation of a company’s past customers or members.
Household,"All those people who occupy one living unit, whether they arerelated or not. Households using television (HUT) (p. 378) A measure of households using TV ."
Humor,"An advertising message strategy that tries to be funny to attract anaudience, build a positive brand connec-tion, and lock the product in memory."
I Idea,A thought or product of thinking.
Ideation,The process of creating an idea.
Illumination,The point when a new idea strikes.
Image,The use of intangible attrib- utes to create a specific perception.
Image advertising,"A type of ad- vertising that creates a unique brand meaning. Image transfer (pp. 277, 446) When the presentation in one medium stimulates the listener or viewer to think about the pre-sentation of the product in another medium."
IMC research,Research used to plan and evaluate the performance andsynergy of all marketing communicationtools.
Immersion,"Gathering information and concentrating your focus on a problem. Impact (pp. 103, 247) The effect of the message on the audience."
Implied third-party endorsement,"When the media endorse a product and the public finds it credible. Impression (pp. 335, 378) In media plan- ning, one person’s opportunity to be ex-posed to an advertising message."
In-depth interview,One-on-one interview using open-ended questions.
In-house agency,An agency within an advertiser’s organization that performsall the tasks an outside agency would pro-vide for the advertiser.
Inbound telemarketing,Incoming calls initiated by the customer.GLOSSARY 617
Incubation,"A step in the ideation process, when you turn your attention else-where and let your subconscious play with a problem."
Independent stations,Local sta- tions unaffiliated with a national network.
Indirect action,Delayed response to advertising such as recalling the messageand later in the store selecting the brand.
Indirect advertising,Advertising that features a related product or idea in-stead of the primary (controversial) product.
Indirect-action headlines,Head- lines that aim to capture attention althoughthey might not provide much information.
Industrial advertising,Advertis- ing directed at suppliers or original equip-ment manufacturers (OEMs).
Infomercial,Infomercials are ex- tended TV commercials that use the tech-niques of direct response communicationto make an offer to viewers who are pros-pects for the brand.
Ingredient branding,Acknowledg- ing a supplier’s brand as an important pro-duct feature.
Inquiry tests,Evaluation that mea- sures the number of responses to a message.
Insight mining,"Finding some nugget of truth in a stack of research find-ings that lead to a key understanding of how consumers feel, think, or behave. Instant messaging (IM) (p. 346) Ex- changing text-based messages in real timevia an Internet communications service."
Institutional advertising,A type of corporate advertising that focus on estab- lishing a corporate identity or viewpoint.
Institutional markets,"Usually a nonprofit organization, such as hospitals,government agencies, or schools, thatbuy products to use in delivering their services. Integrated direct marketing (IDM) (p. 509) A method of achieving precise, synchronized use of a tightly targetedmedium at the right time, with a measura-ble return on dollars spent. Also known as integrated relationship marketing. Integrated marketing communication (IMC) (pp. 17, 53) The practice of unify- ing all marketing communication efforts sothey send a consistent brand message to target audiences."
Intend-to-buy test,An evaluation determining if people are more likely tobuy a product once they are exposed to anadvertisement for it.Intention (p. 119) A preference that moti- vates consumers to want to try or buy a brand.
Interactive communication,Per- sonal conversations between two people.
Interactive television,A television with computer capabilities.
Interactivity,Communication strategies that make it possible for con-sumers to send messages back and forth tothe brand and to each other.
Interest,Activities that engage the consumer.
Interior transit advertising,"Ad- vertising posters that are mounted insidevehicles such as buses, subway cars, andtaxis."
Interlock,"A version of the commer- cial with the audio and video timed together, although the two are recorded separately."
Intermediaries,"Companies that buy finished or semi-finished items and re-sell them for a profit. Internal marketing (pp. 217, 463) Provid- ing information about marketing activity and promoting it internally to employees."
International advertising,Adver- tising designed to promote the same prod- uct in a number of countries.
International brand,A brand or product that is available in most parts ofthe world.
International marketing,Market- ing programs that manage and promote the same brand in several countries or globally.
Internet,"A linked system of inter- national computer networks. Intranets (pp. 392, 479) Networked sys- tems of electronic communication that al-low employees to be in touch with one another from various locations."
Intrusive,Marketing communica- tion messages that intrude on people’s per-ception in order to grab attention.
Intrusiveness,Techniques used by messages and media to grab attention by being disruptive or unexpected.
Involvement,The intensity of the consumer’s interest in a product.
Issue management,"The practice of advising companies and senior manage- ment on how public opinion is coalescing around certain issues. J Jingles (pp. 276, 371) Commercials set to music.K"
Key frame,An image from a com- mercial that sticks in the mind and be-comes the visual that viewers rememberwhen they think about the commercial.
Key influencers,Persons of knowl- edge or authority who serve as opinionleaders within a social network.
Key visual,"Image that conveys the heart of the concept. Key words (pp. 282, 392) A word or phrase typed into a search engine to findswebsites relevant to a certain topic."
Kiosks,Multisided bulletin board structures designed for public posting of messages.
Knowledge structure,See Net- work of associations.
L Latent publics,Those people who are unaware of their connection to an orga-nization regarding a problem.
Layout,A drawing that shows where all the elements in the ad are to bepositioned.
Lead agency,"In international marketing, the agency that develops thecampaign. Lead generation (pp. 43, 491) The identi- fication of prospective customers."
Lead paragraph,"The first line or paragraph of the body copy that is used to stimulate the reader’s interest. Lead time (pp. 355, 433) Production time; also time preceeding a seasonal event."
Leads,"The identification of poten- tial customers, or prospects."
Left-brain thinking,"Logical, linear, and orderly thought; inductive ordeductive."
Legibility,How easy or difficult a type is to read.
Licensing,The practice whereby a company with an established brand “rents” it to another company.
Lifestyle,"The pattern of living that reflects how people allocate their time, en-ergy, and money. Lifetime customer value (LCV) (p. 511) An estimate of the revenue coming from aparticular customer (or type of customer) over the lifetime of the relationship."
Likability tests,Evaluation of pos- itive responses to an ad.
Liking,Positive feelings about the brand that are aroused by a brand message.618 GLOSSARY
Line art,"Art in which all elements are solid, with no intermediate shades ortones."
Link,A path used to connect to a website.
Lobbying,"A form of public affairs involving corporations, activist groups,and consumer groups who provide infor-mation to legislators in order to get their support and to get them to vote a certain way on a particular bill."
Local advertising,Advertising tar- geted to consumers who live within the lo-cal shopping area of a store.
Local brand,A brand that is mar- keted in one specific country.
Localization,"A strategy in interna- tional advertising that adapts the messageto local cultures. Logo (pp. 49, 295) A distinctive brand mark that is legally protected."
Low-context cultures,The mean- ing of a message is obvious without need-ing a sense of the cultural context.
Low involvement,"Perceiving a product or information as unimportant. Low-power FM (LPFM) (p. 370) Non- profit, noncommercial stations that serve a small area market, such as a collegecampus. Loyalty (continuity, frequency)"
program,A program designed to increase customer retention by rewarding custom- ers for their patronage.
M Make goods,Compensation that media give to advertisers in the form of additional message units. These are com- monly used in situations involving produc-tion errors by the medium and preemptionof the advertiser’s programming.
Market,An area of the country or a group of buyers.
Market research,"A type of mar- keting research that investigates the prod-uct and category, as well as consumerswho are or might be customers for theproduct."
Market segmentation,The process of dividing a market into distinct groups of buyers who might require sepa-rate products or marketing mixes.
Market selectivity,When the medium targets specific consumer groups.
Marketer,"The company or organi- zation behind the product.Marketing (p. 34) Business activities that direct the exchange of goods and servicesbetween producers and consumers. Marketing communications (pp. 9, 43) The element in the marketing mix thatcommunicates the key marketing mes-sages to target audiences."
Marketing concept,"An idea that suggests that marketing should focus firston the needs and wants of the customer,rather than finding ways to sell productsthat may or may not meet customers’needs."
Marketing imperialism,Marketing practices that result in imposing foreigncultural values on a local culture with dif-ferent values and traditions.
Marketing mix,"A blend of four main activities: designing, pricing, distributing, and communicating about the product. Marketing plan (pp. 39, 192) A written document that proposes strategies for us-ing the elements of the marketing mix toachieve objectives. Marketing public relations (MPR) (p. 466) A type of public relations that supports mar- keting’s product and sales focus by increas-ing the brand’s and company’s credibilitywith consumers."
Marketing research,Research that investigates all elements of the marketing mix.
Marketing services,"This includes a variety of suppliers hired by marketers,such as researchers and various types of marketing communication agencies. Mass media (pp. 21, 327) Communication channels, such as newspapers or television,used to send messages to large, diverseaudiences."
Maven marketing,"People who are considered expert or knowledgeable about some topic. Measured media (pp. 327, 424) Media used in advertising that are evaluated byauditing companies that track performance data, such as circulation, readership, and viewership."
Mechanicals,"A finished pasteup with every element perfectly positionedthat is photographed to make printingplates for offset printing. Media (pp. 20, 326) The channels of com- munication that carry the ad message totarget audiences."
Media buyer,Specialists who implement the media plan by contractingwith various media for placement of anadvertisement.Media
flow chart,A planning doc- ument that shows how the media plan willrun in terms of the scheduling of the vari-ous media used.
Media kit,"Also called a press kit, a packet or folder that contains all theimportant information for members of thepress. Media mix (pp. 334, 430) Selecting the best combination of media vehicles, nontradi-tional media, and marketing communica-tion tools to reach the targeted stakeholderaudiences."
Media objective,Goals or tasks a media plan should accomplish.
Media optimization,"The best use of various communication methods to pro- mote the company. Media plan (pp. 332, 424) A decision process leading to the use of advertisingtime and space to assist in the achievementof marketing objectives."
Media planners,Media specialists who develop the strategic decisions out-lined in the media plan.
Media planning,The way adver- tisers identify and select media options based on research into the audience pro- files of various media.
Media relations,Relationships with media contacts.
Media reps,Media salespeople who sell media time and space for a variety of media outlets.
Media research,The process of gathering information about all the possi- ble media and marketing communication tools available to be used in a marketingcommunication plan.
Media researchers,The specialists who gather information about media audi-ences and performance.
Media salespersons,People who work for a specific medium and call on me-dia planners and buyers in agencies to sellspace or time in that medium.
Media strategy,The decisions me- dia planners make to deliver the most ef-fective media mix that will reach the targetaudience and satisfy the media objectives.
Media tour,"A traveling press con- ference in which the company’s spokes-person travels to different cities and meets with the local media. Media vehicle (pp. 20, 327) A single pro- gram, magazine, or radio station."
Media-buying services,Specialized businesses that purchase media for clients.GLOSSARY 619
medium,"media is plural when it refers to various channels, but singular— medium —when it refers to only one form, such as newspapers."
Medium,"A single form of com- munication (television, billboards, online  media)."
Mental rehearsal,Visualization of imagined actions that is the predecessor tothe behaviors with which the advertiser hopes the consumer will feel comfortable and familiar.
Merging,The process of combin- ing two or more lists of data.
Message,"The words, pictures, and ideas that create meaning in an advertisement."
Message development research,Research findings gathered by planners tohelp decide message strategy.
Message strategy,The determina- tion of the right message for a particulartarget audience that delivers the advertis-ing objectives.
Metaphors,A figure of speech in which a term or phrase from one object isassociated with something entirely differ- ent to create an implicit comparison.
Micro-blog,"A small blog— Twitter, for example."
Micro-sites,Small websites that are offspring of a parent website.
Microtargeting,The practice of using vast databases of personal informa-tion to predict attitudes and behavior of se-lected groups.
Minisites,"Smaller websites that exist on a marketing partner’s site permit-ting viewers to click on the minisite for ad- ditional information without leaving the original website. Mission marketing (pp. 76, 561) Linking the mission of the company to a good cause and committing support to it for the longterm."
Mission statement,"A business platform that articulates the organization’sphilosophy, as well as its goals and values."
Mixer,The individual who oper- ates the recording equipment during a filmshoot.
Mobile marketing,The use  of wireless communication to reach peo-ple on the move with a location-basedmessage.
Moment-by-moment tests,Ar e - search method that evaluates viewers’ re-sponse to a commercial frame by frame.Morals (p. 76) The framework for separat- ing right from wrong and identifying goodbehavior.
Morning drive time,On radio the day part that reaches people when they are commuting to work.
Morphing,A video technique in which one object gradually changes into another.
Motivation,An unobservable in- ner force that stimulates and compels a be- havioral response.
Motivation test,Research that evaluates consumers’ intention to act.
Motive,"An internal force—like the desire to look good—that stimulates you tobehave in a particular manner. Multichannel (pp. 332, 450) An advertis- ing plan that uses several different forms ofmedia, such as TV , print, radio, and online."
Multiplatform,"In IMC planning, multiple functional areas and tools, such as public relations and sales promotion, are used to deliver messages and create brandinteractions, a practice referred to as multi-platform communication. N Navigation (pp. 318, 400) The action of a user moving through a website."
Needs,Basic forces that motivate you to do or to want something.
Netcasting,"Using video on per- sonal sites (vlogs) or corporate sites partic-ularly broadcasting TV or radio online. Network of associations (pp. 116, 172) The linked set of brand perceptions thatrepresent a person’s unique way of creatingmeaning."
Neuromarketing,The brain- science approach investigating how con-sumers think.
News release,Primary medium used to deliver public relations messages tothe media.
News value,"The quality of infor- mation that makes it of interest to newseditors based on such considerations as timeliness, proximity, impact, or humaninterest."
Newsprint,"An inexpensive paper with a rough surface, used for printing newspapers."
Niche market,Subsegments of the general market which have distinctivetraits that may provide a special combina-tion of benefits.Niche
media,"Communication channels used to reach audience segments defined by a specialized interest, such as ethnicity or profession."
Noise,Anything that interferes with or distorts the advertising message’sdelivery to the target audience.
Nonprofit advertising,"Advertis- ing programs used by nonprofit organiza-tions, such as charities, associations, andhospitals."
Nontraditional delivery,"Delivery of magazines to readers through suchmethods as door hangers or newspapers. Norms (pp. 132, 584) Simple rules  that each culture establishes to guidebehavior. North American Industry Classification System (NAICS) (p. 556) The federal sys- tem of grouping businesses based on the major product or service provided. O Objective (pp. 27, 190) The goal or task an individual or business wants to accomplish."
Objective-task method,Budget- ing approach based on costs of reaching an objective.
Observation research,Qualitative research method that takes researchers intonatural settings where they record people’s behavior.
Off camera,"In television, a voice that is coming from an unseen speaker."
Offer,"A direct marketing tool  that provides potential customers with anitem’s information, description, terms of sale, and often an incentive for quick ac- tion in buying."
Offline advertising,Advertising in traditional media that is designed to driveconsumers to an advertiser’s website.
Offset printing,A printing process that prints an image from a smooth-surface chemically treated printing plate.
On location,"Commercials shot outside the studio. One-order,"
one-bill,When media companies buy newspaper advertising space for national advertisers and handle the rate negotiation and billing.
One-step offer,A message that asks for a direct sales response and has amechanism for responding to the offer.
Online video,Television program- ming delivered via a computer.620 GLOSSARY
Open-ended questions,"A qualita- tive research method that asks respondentsto generate their own answers. Opinion leaders (pp. 117, 461) Important people who influence others. Opt in (Opt out) (p. 505) In e-mail adver- tising (and direct mail) consumers agree tobe included or not included in the list. Optimization (pp. 440, 492) Computer modeling that helps media planners deter-mine the relative impact and efficiency of various media mixes."
Original,Unique and the first of it’s kind.
Out-of-home advertising,"All ad- vertising that is displayed outside thehome, from billboards, to blimps, to in- store aisle displays."
Out-of-register color,When the four colors used in full-color printing arenot perfectly aligned with the image.
Outbound telemarketing,Tele- marketing sales calls initiated by thecompany.
Outdoor advertising,Adver- tising on billboards along streets andhighways.
Overlines,Text used to set the stage and lead into the headline of copy.
P Pace,How fast or slowly the action progresses in a commercial.
Package goods,Products sold for personal or household use.
Packaging,"Both a container and a communication vehicle, a package deliversa brand message in the store, as well as areminder message when used at home or in the office."
Page views,The number of times a website is visited.
Painted outdoor bulletins,A type of advertisement that is normally createdon-site and is not restricted to billboards as the attachment.
Pantry checks,"A researcher checks home-owners’ pantries to determine theirpurchases. Parity products (pp. 46, 202) Products that really are the same, such as milk, unleaded gas and over-the-counter drugs; also known as undifferentiated products."
Participant observation,Ar e - search method in which the observer is amember of the group being studied.Participations (p. 380) An arrangement in which a television advertiser buys com-mercial time from a network.
Pass-along readership,"The view that a magazine, although only bought byone consumer, may actually be read byseveral; difference between circulation and readership."
Payout analysis,A comparison of the cost of a promotion against the fore-casted sales generated by the promotion. Pay-per-click (PPC) (p. 597) Online ad- vertising where a company is charged everytime a potential customer visits (clicks) ontheir website.
Payout planning,A way to evalu- ate the effectiveness of a sales promotion in terms of its financial returns by compar- ing the costs of the promotion to the fore-casted sales of the promotion.
People meters,Boxes on a TV set that record viewing behaviors.
Perceived risk,The relationship between what you gain by making a certain decision and what you have to lose.
Percentage-of-sales method,A budgeting technique based in the relation-ship between the cost of advertising and to- tal sales.
Perception,The process by which we receive information through our fivesenses and acknowledge and assign mean-ing to this information.
Perceptual map,An analytical technique that plots the mental positions held by consumers of a set of competitorson a matrix.
Permission marketing,"A method of direct marketing in which the consumer controls the process, agrees to receive communication from the company, andconsciously signs up."
Permission to believe,Credibility building techniques that increase con- sumers’ conviction in making decisions.
Personal sales,Face-to-face contact between the marketer and a prospectivecustomer.
Personal selling,Face-to-face con- tact between the marketer and a prospec- tive customer that intends to create andrepeat sales.
Personalization,"In the shift away from mass communication strategies, me-dia are being used to deliver informationrelated to an individual’s personal informa-tion, behavior, and interests.Persuasion (p. 116) Trying to establish, re- inforce, or change an attitude, touch anemotion, or anchor a conviction firmly inthe potential customer’s belief structure."
Persuasion test,"A test that evalu- ates the effectiveness of an advertisementby measuring whether the ad affects con-sumers’ intentions to buy a brand. Photoboards (pp. 282, 585) A mockup of a television commercial that uses still photosfor the frames."
Picture sort,Viewers receive a deck of photos and sort them into cate-gories as requested by the researcher.
Pitch letter,A letter to a media out- let that outlines a possible story idea thatthe PR person would like to provide.
Podcasting,The practice of using audio shows broadcast from the Web to bedownloaded to an MP3 player.
Podcasts,Audio shows broadcast from the Web that an be downloaded to anMP3 player.
Point of differentiation,The way a product is unique from its competitors. Point-of-purchase (PoP)
display,A display designed by the manufacturerand distributed to retailers to promote a particular brand or line of products. Point-of-purchase (PoP)
materials,"In-store merchandising materials that usesuch promotional materials as aisle displays,shelf signs, and window posters to feature abrand and its promotional offer."
Pop-ups and pop-behind,Types of ads that burst open on the computer screen either in front of or behind the open- ing page of a website.
Population,An entire group of people from which a sample is drawn.
Portal,A website that provides doors or links to other websites.
Position,A brand location in the consumer’s mind relative to competing brands based on the relative strengths ofthe brand and its competitors.
Positioning,The way in which consumers perceive a product in themarketplace.
Post-testing research,A type of research that uses a number of methods toevaluate the effectiveness of a program af-ter it has been implemented.
Postproduction,"In TV produc- tion, assembling and editing the film afterthe film has been shot.GLOSSARY 621"
Predictive dialing,Technology that allows telemarketing companies tocall anyone by using a trial and error dial- ing program.
Preference,Favorable positive im- pression of a product that leads to an inten-tion to try or buy it.
Preferred positions,Sections or pages of print media that are in high de- mand by advertisers because they have a special appeal to the target audience.
Preferred-position rate,Charges by media for space or time that are in highdemand because they have a special appeal to the target audience.
Premium,"A tangible reward re- ceived for performing a particular act, suchas purchasing a product or visiting thepoint-of-purchase."
Preprints,Advertising circulars furnished by a retailer for distribution as a free-standing insert in newspapers.
Proproduction,"The process of outlining every step and decision to bemade in the production process in a set ofproduction notes that are compiled from a preproduction meeting with the creative team, producer and other key participants."
Press conference,"A public gather- ing of media people for the purpose of es-tablishing a company’s position or making a statement. Pretesting (pp. 174, 584) Evaluative re- search of finished or nearly finished adsthat leads to a go/no-go decision."
Price,"An amount a seller sets for a product that is based not only on the cost of making and marketing the product, but also on the seller’s expected profit level."
Price copy,A term used to designate advertising copy devoted to informationabout the price and the associated condi- tions of a particular product.
Price deal,A temporary reduction in the price of a product.
Price-value strategy,Promotional method suggesting customers buying acertain product will get the best qualitypossible at a particular price.
Primary research,Information that is collected from original sources.
Prime time,Programming on TV that runs between the hours of 8 p.m. and11 p.m.
Print production,"A department that takes a layout, type, and artwork and turnsit into a reproducible format.Printed"
poster,A type of billboard that uses printed formats in standardizedsizes that are pasted to the board’s surface.
Privacy policy,A statement on a company’s website that explains what userdata it collects and how it uses the data.
Private label brands,See Store brands.
Private labels,"Also called store brands, house brands, or private labels;products manufactured to the store’s re-quirements and labeled with a brand dis- tinctive to that store."
Pro bono,"Situation in which all services, time, and space are donated."
Problem avoidance message,A message strategy that positions the brandas a way to avoid a problem.
Problem solution message,A message strategy that sets up a problemthat the use of the product can solve.
Process colors,"Four basic inks— magenta, cyan, yellow, and black—that aremixed to produce a full range of colorsfound in four-color printing."
Product category,Classification to which a product belongs.
Product development,"Improvement of goods and services to meet customer needs more efficiently and effectively. Product differentiation (pp. 40, 202) A competitive marketing strategy that tries to create a competitive difference through real or perceived product attributes."
Product placement,"The use of a brand name product in a television show, movie, or event."
Product reviews,A record of opin- ions by people who have purchased a par- ticular item.
Product-as-hero,A form of the problem-solution message strategy.
Product-driven philosophy,"A mar- keting approach that starts with the devel- opment of a product, rather than with consumer needs."
Production notes,A document that describes in detail of every aspect of a commercial’s production.
Professional advertising,Adver- tising that is targeted at professionals.
Profiles,A composite description of a target audience using personality and lifestyle characteristics.
Program preemptions,Interrup- tions in local or network programmingcaused by special events.Projective
techniques,A psychoan- alytic research technique that asks re-spondents to generate impressions to gather insights about consumers and brands.
Promise,"Found in a benefit state- ment, it is something that will happen ifyou use the product."
Promotional allowances,Retail advertising that is focused on price or a special sale.
Prospecting,"In database market- ing, this is the process of identifyingprospects based on how well they matchcertain user characteristics."
Prospects,Potential customers who are likely to buy the product or brand.
Psychographics,All psychologi- cal variables that combine to share our in-ner selves and help explain consumerbehavior.
Psychological pricing,A strategy that tries to manipulate the customer’s pur- chasing judgment.
Public affairs,"Relations between a corporation, the public, and governmentinvolving public issues relating to govern- ment and regulation. Public communication campaigns (pp. 466, 560) Social issue campaigns un- dertaken by nonprofit organizations as aconscious effort to influence the thoughtsor actions of the public."
Public opinion,"People’s beliefs, based on their conceptions or evaluationsof something, rather than on fact."
Public radio,A network of radio stations that use public broadcasting mate- rial usually provided by National Public Radio (NPR).
Public relations,"A management function enabling organizations to achieveeffective relationships with various publicsin order to manage the image and reputa- tion of the organization. Public Service Announcements (PSAs) (pp. 11, 371, 472) A type of public relations advertising that deals with public welfareissues and typically is run free of charge."
Public television,Broadcast TV stations that generally function based on donations rather than commercialadvertising.
Publicity,Information that catches public interest and is relayed through thenews media.
Publics,All groups of people with which a company or organization interacts.622 GLOSSARY
Puffery,"Advertising or other sales representation that praises a product or ser-vice using subjective opinions, superla- tives, and similar techniques that are not based on objective fact. Pull strategy (pp. 43, 435) A strategy that directs marketing efforts at the consumerand attempts to pull the product throughthe channel."
Pulsing strategy,An advertising scheduling pattern in which time and space are scheduled on a continuous but unevenbasis; lower levels are followed by burstsor peak periods of intensified activity.
Purging,"The process of deleting duplicative information after lists of data are combined. Push strategy (pp. 43, 435) A strategy that directs marketing efforts at resellers, wheresuccess depends on the ability of these in-termediaries to market the product, whichthey often do with advertising."
Q Qualitative research,Research that seeks to understand how people think and behave and why.
Quantitative research,Research that uses statistics to describe consumers.
R Radio Network,A group of local affiliates providing simultaneous program- ming via connection to one or more of the national networks through AT&T tele-phone wires.
Radio script,A written version of a radio commercial used to produce thecommercial.
Random sample,The type of re- search sample requiring that each person in the population being studied has anequal chance of being selected to be in thesample.
Rate card,"A list of the charges for advertising space. Ratings, Rating Points (pp. 335, 379) Percentage of population or households tuned to a program. Reach (pp. 335, 427) The percentage of different homes or people exposed to a me-dia vehicle or vehicles at least once duringa specific period of time. It is the percent- age of unduplicated audience."
Reason to believe,Supporting or proving an advertising claim intensifiesbelievability.
Reason why,A statement that ex- plains why the feature will benefit the user.Rebate (p. 523) A sales promotion that al- lows the customer to recover part of theproduct’s cost from the manufacturer in theform of cash.
Recall,People remember seeing an ad and what the ad said.
Recall test,A test that evaluates the memorability of an advertisement by con-tacting members of the advertisement’saudience and asking them what they re-member about it.
Receiver,"The audience for an advertisement. Recency, frequency, and monetary (RFM) (p. 492) The three criteria that help direct marketers predict who among the customerbase is likely to be repeat buyers."
Recognition,An ability to remem- ber having seen something before.
Recognition test,"A test that eval- uates the memorability of an advertisementby contacting members of the audience,showing them the ad, and asking whether they remember having seen it before."
Reference group,A group of peo- ple that a person uses as a guide for behav-ior in specific situations.
Referrals,When a satisfied cus- tomer recommends a favorite brand.
Refund,An offer by the marketer to return a certain amount of money to theconsumer who purchases the product.
Regional brand,A brand that is available throughout a regional tradingblock.
Registered,When the four colors used in full-color printing are perfectlyaligned with the image.
Relational database,"Databases used for profiling and segmenting potentialcustomers as well as providing contact in-formation. Relationship marketing (pp. 337, 463) The ongoing process of identifying and main-taining contact with high-value customers."
Release prints,Duplicate copies of a commercial that are ready for distribution.
Relevance,The message connects with the audience on a personal level.
Relevant,Ideas that mean some- thing to the target audience.
Reliability,"In research, reliability means you can run the same test over againand get the same results."
Reminder advertising,An adver- tising strategy that keeps the brand name infront of consumers.Repositioning (p. 205) Developing a new position for the product as the marketingenvironment changes.
Reputation,"A general estimation in which a company is held by the public,based on its practices, policies, and performance."
Reputation management,The trust stakeholders have in an organization.
Reseller,"Intermediaries in the dis- tribution channel, typical wholesalers, re-tailers, and distributors who buy productsfrom manufacturers and then resell them tothe ultimate user."
Resonance,A message that rings true because the consumer connects with iton a personal level.
Response list,"In direct marketing, a list that is compiled of people who re-spond to a direct-mail offer."
Retail advertising,A type of adver- tising used by local merchants who sell di-rectly to consumers.
Retainer,"Agency monthly compen- sation based on an estimate of the projectedwork and its costs. Return on investment (ROI) (pp. 55, 191) Return on investment means that the costsof conducting the business should be more than matched by the revenue produced in return."
Right brain thinking,"A type of di- vergent thinking that is intuitive, holistic,artistic, and emotionally expressive."
ROI of creativity,"Ideas that are relevant, original, and have impact."
Rough cut,A preliminary edited version of the commercial.
Rough layouts,A layout drawn to size but without attention to artistic andcopy details. Run-of-paper (ROP)
rate,"In news- paper advertising, a rate based on a locatonthat is at the discretion of the publisher."
Rushes,Rough versions of the com- mercial assembled from unedited footage.
S Saccadic eye movement,The path the eye takes in scanning an ad.
Sales kits,Packets of information used by media representatives and other types of sales personnel.
Sales levels,The amount of a par- ticular product customers buy.
Sales promotion,Marketing ac- tivities that add value to the product for aGLOSSARY 623
Sample,"In research, a subset of the population that is representative of the key characteristics of the larger group."
Sampling,Allowing the consumer to experience the product at no cost.
Satellite radio,Subscription radio programming delivered by satellite to re-ceivers anywhere in the continental United States.
Satellite television,Subscription television programming delivered by satel-lite to locations with satellite dishes.
Scanner research,Research that tracks consumer purchases and comparesthe marketing communication received by the consumer’s household.
Scenes,Commercials are planned with segments of action that occur in a sin- gle location.
Screen,Used to convert continu- ous tone art to halftone by shooting the im- age through a fine screen that breaks the image into a dot pattern.
Script clerk,"The person who checks the dialogue, other script details, and times the scenes."
Search engine,Internet services that locate information based on key words.
Search marketing,Marketing communication strategies designed to aid consumers in their search for information.
Search optimization,The practice of maximizing the link between topics that consumers search for and a brand-relatedwebsite.
Secondary research,Information that already has been compiled andpublished.
Segmenting,Dividing the market into groups of people who have similarcharacteristics in certain key product-related areas.
Selective attention,The process by which a receiver of a message choosesto attend to the message.
Selective perception,The process of screening out information that doesn’tinterest us and retaining information that does.
Self-liquidator,A type of mail pre- mium that requires a payment sufficient to cover the cost of the item.
Selling premise,The sales logic behind an advertising message.Semicomps (p. 304) A layout drawn to size that depicts the art and display type; bodycopy is simply ruled in.
Semi-controlled media,"Media, such as the Internet, whose messages canbe controlled by an organization in some ways, but that also contains totally uncon- trolled messages."
Semiotic analysis,"A qualitative research method designed to uncover lay- ers and types of meaning. Set(p. 280) A constructed setting in which the action of a commercial takes place. Share of audience (pp. 335, 379) The per- cent of viewers based on number of setsturned on. Share of market (pp. 37, 193) The per- centage of the total market in a product cat-egory that buys a particular brand."
Share of mind,The extent to which a brand is well known in its category.
Share of voice,One brand’s percent- age of advertising messages in a medium compared to all messages for that product or service.
Share of wallet,The amount cus- tomers spend on the brand.
Shelf talkers,Signs or coupons at- tached to a shelf that customers can takeaway for information or discounts.
Shoppers,Free-distribution news- papers retailers use to attract customers.
Showing,The percentage of the market population exposed to an outdoorboard during a specific time.
Single-source research,"A test that is run after an ad campaign is introducedthat shows a causal relationship betweenmarketing communication and sales. Situation analysis (pp. 39, 196) The first section in a campaign plan that summarizesall the relevant background information andresearch and analyzes its significance."
Skyscrapers,Extra-long narrow ads that run down the right or left side of awebsite.
Slice-of-life message,A type of problem-solution ad in which “typical peo-ple” talk about a common problem.
Slogans,Frequently repeated phrases that provide continuity to an ad-vertising campaign.
Smart phones,"High-end cell phones, such as the BlackBerry or iPhone,with computing and photographic capabil-ities that can access the Internet, as well asperform traditional telephone functions.SMCR"
model,"A model of advertising effects that focuses on the cog-nitive, emotional, and behavioral responsesto a message."
Social class,"A way to categorize people on the basis of their values, atti-tudes, lifestyles, and behavior."
Social games,Like a computer game except it’s played with friends—an example is FarmVille and Second Life.
Social learning,People learn by watching others.
Social marketing,Marketing with the good of society in mind.
Social media marketing,"Market- ing strategies that take advantage of the in-teractivity found on social media, such asFacebook and My Life."
Social networking,"Social media, such as Facebook, which represents a net-work, or community, of friends—market- ing strategies use this network of personal contacts as communication opportunities."
Social responsibility,A corporate philosophy based on ethical values.
Societal marketing,A business phi- losophy that describes companies whose operations are based on the idea of socially responsible business.
Soft sell,"An emotional message that uses mood, ambiguity, and suspense  to create a response based on feelings andattitudes."
Soft-sell approach,Method of selling that tries to persuade consumers bybuilding an image for a brand and touchingconsumers’ emotions.
Sound effects,Lifelike imitations of sounds.
Source,"The sender of a message, the advertiser."
Source credibility,Belief in a mes- sage one hears from a source one findsmost reliable.
Spam,Blasting millions of unso- licited e-mail ads. Speaker’s
bureau,A public rela- tions tool that identifies a group of ar-ticulate people who can talk about an organization.
